Link,Relevance
https://www.worldometers.info/world-population/sierra-leone-population/ ,1
http://worldpopulationreview.com/countries/sierra-leone-population/,1
https://en.wikipedia.org/wiki/Demographics_of_Sierra_Leone,1
https://countrymeters.info/en/Sierra_Leone,1
https://www.populationof.net/sierra-leone/,1
https://tradingeconomics.com/sierra-leone/population   ,0
https://countryeconomy.com/demography/population/sierra-leone,1
https://www.worldometers.info/demographics/sierra-leone-demographics/,1
https://www.populationpyramid.net/sierra-leone/2050/,1
http://worldpopulationreview.com/countries/sierra-leone-population/cities/ ,1
https://tradingeconomics.com/sierra-leone/gdp-growth-annual ,0
https://justfunfacts.com/interesting-facts-about-sierra-leone/,1
https://www.britannica.com/place/Sierra-Leone ,0
https://www.livepopulation.com/country/sierra-leone.html,1
https://afrikanza.com/facts-about-sierra-leone/,1
https://www.citypopulation.de/en/sierraleone/,1
https://www.worldatlas.com/articles/the-biggest-cities-in-sierra-leone.html  ,0
https://all-populations.com/en/sl/population-of-sierra-leone.html,1
https://data.worldbank.org/country/sierra-leone,1
https://www.borgenmagazine.com/facts-poverty-in-sierra-leone/,1
https://en.wikipedia.org/wiki/Sierra_Leone,1
http://sierra-leone.org/Census_2015.pdf,1
https://www.worldatlas.com/af/sl/where-is-sierra-leone.html,1
https://www.sl.undp.org/content/sierraleone/en/home/countryinfo.html,1
http://population.city/sierra-leone/,1
https://www.unicef.org/infobycountry/sierraleone_statistics.html ,0
https://www.cdc.gov/globalhealth/countries/sierra-leone/default.htm ,0
https://www.who.int/countries/sle/en/,1
https://www.Answers.com/Q/What_is_the_population_of_Sierra_Leone ,0
https://www.quora.com/What-is-the-population-of-Sierra-Leone-2018?share=1 ,0
