Link ,Relevance
https://www.worldometers.info/world-population/sierra-leone-population/ ,1
https://en.wikipedia.org/wiki/Demographics_of_Sierra_Leone,1
http://worldpopulationreview.com/countries/sierra-leone-population/,1
https://www.cia.gov/library/publications/the-world-factbook/geos/print_sl.html,1
https://sierraleone.unfpa.org/sites/default/files/pub-pdf/Population%20structure%20Report_1.pdf ,1
https://www.populationof.net/sierra-leone/ ,1
https://tradingeconomics.com/sierra-leone/population,1
https://countrymeters.info/en/Sierra_Leone ,1
https://www.statistics.sl/,0
https://www.populationpyramid.net/sierra-leone/2019/,1
https://www.cs.mcgill.ca/~rwest/wikispeedia/wpcd/wp/d/Demographics_of_Sierra_Leone.htm,1
https://www.citypopulation.de/en/sierraleone/cities/ ,1
https://www.indexmundi.com/sierra_leone/population.html,0
https://data.worldbank.org/country/sierra-leone,1
https://www.bbc.com/news/world-africa-14094194,1
http://www.sierra-leone.org/bibliography-population.html,0
http://population.city/sierra-leone/,1
https://countryeconomy.com/demography/population/sierra-leone?year=1961,1
https://data.humdata.org/dataset/sierra-leone-population ,0
https://www.ncbi.nlm.nih.gov/pubmed/12268125,0
https://www.who.int/countries/sle/en/ ,1
https://fred.stlouisfed.org/series/SPPOPDPNDOLSLE ,0
http://www.worldcoo.com/pt/projetos/health-care-for-the-population-of-sierra-leone/,0
https://www.prisonstudies.org/country/sierra-leone ,0
https://theodora.com/wfbcurrent/sierra_leone/sierra_leone_people.html,1
https://www.heritage.org/index/country/sierraleone ,0
https://population.mongabay.com/population/sierra-leone,1
https://reliefweb.int/sites/reliefweb.int/files/resources/20190807_acaps_start_briefing_note_sierra_leone_flash_floods.pdf  ,0
https://thecommonwealth.org/our-member-countries/sierra-leone/society ,0
https://populationstat.com/sierra-leone/freetown ,0
