Link,Relevance
https://history.state.gov/milestones/1989-1992/collapse-soviet-union,1
https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union,1
https://www.history.com/topics/cold-war/fall-of-soviet-union,1
https://www.britannica.com/story/why-did-the-soviet-union-collapse,1
https://www.britannica.com/event/the-collapse-of-the-Soviet-Union,1
http://www.coldwar.org/articles/90s/fall_of_the_soviet_union.asp,1
https://europe.unc.edu/iron-curtain/history/the-fall-of-the-soviet-union/,1
https://www.theguardian.com/world/gallery/2014/jul/14/soviet-union-collapse-in-pictures,1
https://www.nationalgeographic.com/news/2016/12/national-geographic-soviet-union-russia-communism-photos/,1
https://www.youtube.com/watch?v=M16RMXZDG_g,1
http://www.kesw.org/The-Collapse-of-the-Soviet-Union-1?returnUrl=/House-Magazine-Winter-2017,1
https://www.theatlantic.com/photo/2011/12/20-years-since-the-fall-of-the-soviet-union/100214/,0
https://foreignpolicy.com/2016/12/22/the-unlearned-lessons-from-the-collapse-of-the-soviet-union/,1
https://www.nytimes.com/1991/12/26/world/end-of-the-soviet-union-the-soviet-state-born-of-a-dream-dies.html,1
https://www.nationalgeographic.com/news/2016/12/soviet-union-collapse-ussr-russia-history-anniversary/,0
http://www.sjsu.edu/faculty/watkins/sovietcollapse.htm,1
https://www.ducksters.com/history/cold_war/collapse_soviet_union.php,1
https://www.investopedia.com/articles/investing/021716/why-ussr-collapsed-economically.asp,0
https://www.amazon.com/Age-Delirium-Decline-Soviet-Union/dp/0300087055,1
https://www.express.co.uk/news/world/1199763/world-war-3-mikhail-gorbachev-soviet-union-berlin-wall-chernobyl-nuclear-disaster-spt,0
https://www.voanews.com/gallery/events-leading-collapse-soviet-union,1
https://courses.lumenlearning.com/boundless-worldhistory/chapter/fall-of-the-soviet-union/,1
https://www.washingtonpost.com/news/worldviews/wp/2018/03/03/putin-says-he-wishes-he-could-change-the-collapse-of-the-soviet-union-many-russians-agree/,1
https://www.crcpress.com/The-Rise-and-Fall-of-the-Soviet-Union/Mccauley/p/book/9780582784659,1
https://medium.com/@jamesnickels/the-role-of-fervent-nationalism-in-fuelling-the-dissolution-of-the-soviet-union-de07afb4972c,1
https://www.jstor.org/stable/j.ctt32bqzs,0
https://www.businessinsider.com/photos-of-russia-1990s-after-the-collapse-of-the-soviet-union-2017-3,1
https://online.norwich.edu/academic-programs/resources/consequences-of-the-collapse-of-the-soviet-union,1
https://www.eurasiagroup.net/issues/25-years-from-soviet-collapse,0
http://www.bbc.co.uk/history/worldwars/coldwar/soviet_end_01.shtml,1
